name,category,latitude,longitude,status,roadAddress
청춘극장,기타,37.511693983175874,127.05062099025147,영업/정상,"서울특별시 강남구 봉은사로72길 6, 지상1층 (삼성동)"
대한극장,기타,37.52449088918631,127.02648682049946,영업/정상,"서울특별시 강남구 논현로167길 19, 지상1층 (신사동)"
제이엔클레어,기타,37.51312013454657,127.0294249277812,영업/정상,"서울특별시 강남구 학동로 168, 지하1층 (논현동)"
(주)보나비 아티제 일원점,기타,37.48866230678969,127.08598238394443,영업/정상,"서울특별시 강남구 일원로 81, 지하1층 (일원동, 삼성의료원본관)"
투다리,기타,37.523618104319276,127.02705036135804,영업/정상,"서울특별시 강남구 논현로161길 14, 지상1층 (신사동)"
탕화쿵푸 마라탕,기타,37.498949071760514,127.05330727153233,영업/정상,"서울특별시 강남구 선릉로64길 15-14, 지상1층 (대치동)"
들녁,기타,37.51557145661018,127.06086274877454,영업/정상,서울특별시 강남구 영동대로114길 11 (삼성동)
윤고깃집,기타,37.49062996539626,127.03682831535954,영업/정상,"서울특별시 강남구 강남대로58길 61, EVERRICH 1층 (도곡동)"
홍짜장,기타,37.49269402398625,127.07562822482916,영업/정상,"서울특별시 강남구 개포로 615, 지하1층 B103호 (개포동)"
야스노야지로 압구정점,기타,37.523745985214866,127.0270556099669,영업/정상,"서울특별시 강남구 논현로163길 13-5, 지상1층 (신사동)"
논현양꼬치,기타,37.50994328269149,127.02572133574921,영업/정상,"서울특별시 강남구 학동로6길 37 (논현동,지상1층)"
미쓰냉삼,기타,37.524823270335496,127.02542392804976,영업/정상,"서울특별시 강남구 압구정로20길 15, 지상1층 104호 (신사동)"
강남고을,기타,37.52741288886308,127.04097736139366,영업/정상,"서울특별시 강남구 압구정로 404 (청담동,지상1층)"
콩뿌리 전주콩나물국밥,국밥,37.47879034236416,127.04897397170033,영업/정상,"서울특별시 강남구 개포로 240, 지상101호 (개포동)"
바나프레소 역삼GFC점,기타,37.499637773344546,127.03583784057433,영업/정상,"서울특별시 강남구 테헤란로26길 10, 성보빌딩 지상1층 (역삼동)"
카페일라로,기타,37.51373339218765,127.06188045874991,영업/정상,"서울특별시 강남구 봉은사로104길 10, 동화빌딩 지상1층 (삼성동)"
테리야끼,기타,37.49705816399829,127.05359375262299,영업/정상,"서울특별시 강남구 도곡로 401, 지하1층 (대치동, 롯데백화점)"
전주순대,기타,37.506610146009464,127.05277836475616,영업/정상,서울특별시 강남구 테헤란로69길 10 (삼성동)
사랑방,기타,37.50542628902256,127.02480879645626,영업/정상,서울특별시 강남구 봉은사로1길 9 (논현동)
중화주가 명정루,기타,37.50475944042249,127.05325468726268,영업/정상,"서울특별시 강남구 테헤란로70길 12, 지상1층 (대치동, H타워)"
브라운코너,기타,37.51846855117189,127.02134927307414,영업/정상,"서울특별시 강남구 압구정로2길 53, 지상1층 1호 (신사동)"
더그레이스켈리(강남),기타,37.51400256635538,127.03730637596196,영업/정상,"서울특별시 강남구 언주로126길 23, 지상 1, 2층 (논현동)"
노블,기타,37.491590172683395,127.03673840780503,영업/정상,"서울특별시 강남구 도곡로13길 6, 서경빌딩 지하1층 (역삼동)"
스시마츠모토,기타,37.525817132315034,127.04566754128662,영업/정상,"서울특별시 강남구 도산대로75길 24, 지상1층 (청담동)"
베이커스트 브라운,기타,37.502508540592274,127.02722484438948,영업/정상,"서울특별시 강남구 강남대로102길 21, 지하1,지상1~3층 (역삼동)"
오찌,기타,37.52287311892743,127.03221022654198,영업/정상,"서울특별시 강남구 언주로153길 12, 태경빌딩 6층 (신사동)"
일번지식당,기타,37.52774588756646,127.03860967651286,영업/정상,"서울특별시 강남구 압구정로50길 7 (신사동,지상1층)"
맘스터치 도산대로점,기타,37.5210551621983,127.03766137191928,영업/정상,"서울특별시 강남구 도산대로50길 21, 지상1층 102호 (논현동)"
백가양곱창,기타,37.48244895540307,127.0615233520458,영업/정상,"서울특별시 강남구 선릉로6길 6 (개포동,지상1층)"
언더 더 루프(under the roof),기타,37.51765569310908,127.05230818196262,영업/정상,"서울특별시 강남구 삼성로126길 14, 지상1층 (삼성동)"
행복이 싹트면,기타,37.51589633428585,127.04228592729022,영업/정상,"서울특별시 강남구 선릉로 664, 지상106호 (삼성동)"
타이쇼 베이스먼트,기타,37.48525825796343,127.0352106927967,영업/정상,"서울특별시 강남구 강남대로42길 16, 지하1층 (도곡동)"
한사발포차 양재점,기타,37.48558460330718,127.03563986722314,영업/정상,"서울특별시 강남구 강남대로42길 19, 1층 101호 (도곡동)"
스크렘(Screme),기타,37.50373875348199,127.02648852708676,영업/정상,"서울특별시 강남구 봉은사로4길 17, 지상 1층 (역삼동)"
화류,기타,37.504253906710154,127.02699001748661,영업/정상,"서울특별시 강남구 논현로105길 91, 지상1층 (역삼동)"
다이닝 나리,기타,37.52318607424521,127.04655032937406,영업/정상,"서울특별시 강남구 삼성로149길 13, 지상4층 (청담동)"
푸드팩토리,기타,37.5119535463242,127.0507357197329,영업/정상,"서울특별시 강남구 봉은사로 466, 백우빌딩 104호 (삼성동)"
깐부치킨 매봉역점,기타,37.4856805159427,127.04538783306505,영업/정상,"서울특별시 강남구 논현로38길 46, 지상1층 (도곡동)"
상록수 압구정,기타,37.525561108429756,127.0365818938662,영업/정상,"서울특별시 강남구 언주로164길 35-4, 지상1층,2층 (신사동)"
비에이치씨 역삼푸르지오점,기타,37.4961924562445,127.04398121120906,영업/정상,"서울특별시 강남구 언주로69길 17, 지하1층 B101호 중 B01호 (역삼동)"
더그레이스 켈리 수서,기타,37.4741667530876,127.11510071043286,영업/정상,"서울특별시 강남구 밤고개로21길 79, B1,2,3,4층 (율현동)"
큭큭피자 강남점,기타,37.50674884633969,127.03311739168998,영업/정상,"서울특별시 강남구 봉은사로 174, 역삼 노블루체(언주역) 지하1층 B102호 (역삼동)"
지,기타,37.523277821331675,127.02130380524116,영업/정상,서울특별시 강남구 압구정로 114 (신사동)
석암생소금구이 강남,기타,37.50334176012795,127.02612452495529,영업/정상,"서울특별시 강남구 봉은사로2길 21, 반석빌딩 1층, 2층 (역삼동)"
씨씨알,기타,37.497967713321295,127.05393966339011,영업/정상,"서울특별시 강남구 선릉로64길 20 (대치동,지하1층)"
논현삼계탕 본점,기타,37.51955105504181,127.02679944072099,영업/정상,"서울특별시 강남구 도산대로 167, 고알레 사옥 지상1층 (신사동)"
강화통통생고기 논현점,기타,37.519082102181294,127.02939932638998,영업/정상,"서울특별시 강남구 도산대로30길 12, 지상1층 (논현동)"
테이블스푼(TABLE SPOON) 청담점,기타,37.515555544711106,127.04236734449843,영업/정상,"서울특별시 강남구 선릉로 660, 1층 F113호 (삼성동, 브라운스톤레전드)"
이웃집통통이,기타,37.527313733205006,127.0387732070797,영업/정상,"서울특별시 강남구 선릉로161길 19, 지상1층 (신사동)"
싱싱푸드,기타,37.47544598042321,127.1048606263669,영업/정상,"서울특별시 강남구 자곡로 201, 강남 더샵 라르고 1층 126호 (자곡동)"
(주)불이아 역삼점,기타,37.50253930444398,127.03644637016242,영업/정상,"서울특별시 강남구 논현로 514, 지상2층 (역삼동)"
비비드(VIVID),기타,37.50670383747294,127.02389908617673,영업/정상,"서울특별시 강남구 강남대로 498, 지하1층 (논현동)"
애플,기타,37.52485462182022,127.02485148421655,영업/정상,"서울특별시 강남구 압구정로20길 7 (신사동,지하1층)"
인뉴욕,기타,37.52299484588068,127.03623792409824,영업/정상,"서울특별시 강남구 도산대로45길 8-3, 지상1층 103호 (신사동)"
쿠킹라이브러리(RED11),기타,37.52391933904598,127.03637958675893,영업/정상,"서울특별시 강남구 도산대로45길 18-10, 파크뷰빌딩 지하1층 (신사동)"
와라야키 쿠이신보,기타,37.51860298949392,127.02413116232657,영업/정상,"서울특별시 강남구 도산대로15길 6, 지상1층 (신사동)"
부대식당,기타,37.51923441537899,127.04912118823573,영업/정상,"서울특별시 강남구 학동로77길 7 (청담동,지상1층)"
바나프레소 강남우성점,기타,37.4915812160767,127.03118923180229,영업/정상,"서울특별시 강남구 강남대로 318, TOWER837 지상1층 104호 (역삼동)"
탄,기타,37.519279148069934,127.03003515934724,영업/정상,"서울특별시 강남구 논현로150길 18, 지상5층 501호 (논현동)"
청사포 울림,기타,37.52197334516884,127.03826507984512,영업/정상,서울특별시 강남구 언주로150길 50 (논현동)
소림사(소금빵),기타,37.504647325176684,127.04126317339903,영업/정상,"서울특별시 강남구 언주로 517, KT영동지사, 신라 스테이호텔 지상1층 (역삼동)"
스텔라떡볶이 강남논현점,기타,37.50720128326126,127.02500311769431,영업/정상,"서울특별시 강남구 강남대로120길 18, 1층 102호 (논현동)"
하니푸드스토리,기타,37.489161206928664,127.10094592463656,영업/정상,"서울특별시 강남구 광평로51길 27, 상가동 1층 106호 (수서동, 삼익아파트)"
메이드,기타,37.49024541284048,127.08505457458577,영업/정상,"서울특별시 강남구 일원로9길 42, 지하1층 (일원동)"
토우베,기타,37.51932538635609,127.02164591306814,영업/정상,"서울특별시 강남구 도산대로11길 31-10, 지하1층 (신사동)"
삼성물산(주)10꼬르소꼬모서울카페,기타,37.52691603616183,127.04241925035076,영업/정상,"서울특별시 강남구 압구정로 416 (청담동,지하1층)"
에이비카페(AB CAFE),기타,37.50291357810599,127.02794666082058,영업/정상,"서울특별시 강남구 강남대로102길 32, 지하1층 (역삼동)"
공리,기타,37.50902831559626,127.03199323559664,영업/정상,"서울특별시 강남구 논현로115길 10 (논현동,1층)"
(주)뚝심 선릉역점,기타,37.50455008445673,127.05073058544068,영업/정상,"서울특별시 강남구 테헤란로 410, 지하1층 (대치동, 금강타워)"
하우마라탕,기타,37.49976898301354,127.02917441354461,영업/정상,서울특별시 강남구 강남대로94길 23 (역삼동)
3호집,기타,37.51207012297578,127.04750827795965,영업/정상,"서울특별시 강남구 선릉로112길 48, 1층 (삼성동)"
